x-axis,1,2,4
second,Volt,Volt,Volt
-2.060000E-03,+6.083699957E+00,+6.103172153E+00,+5.881438334E+00
-2.057500E-03,+5.958071815E+00,+6.128297782E+00,+5.881438334E+00
-2.055000E-03,+6.033448700E+00,+6.128297782E+00,+5.881438334E+00
-2.052500E-03,+5.983197443E+00,+6.052920897E+00,+5.906563962E+00
-2.050000E-03,+5.983197443E+00,+6.103172153E+00,+5.881438334E+00
-2.047500E-03,+6.033448700E+00,+6.103172153E+00,+5.906563962E+00
-2.045000E-03,+5.983197443E+00,+6.078046525E+00,+5.881438334E+00
-2.042500E-03,+5.983197443E+00,+6.052920897E+00,+5.906563962E+00
-2.040000E-03,+6.008323072E+00,+6.103172153E+00,+5.881438334E+00
-2.037500E-03,+6.033448700E+00,+6.228800295E+00,+5.906563962E+00
-2.035000E-03,+6.008323072E+00,+6.178549038E+00,+5.906563962E+00
-2.032500E-03,+5.983197443E+00,+6.078046525E+00,+5.856312705E+00
-2.030000E-03,+6.008323072E+00,+6.078046525E+00,+5.881438334E+00
-2.027500E-03,+5.983197443E+00,+6.103172153E+00,+5.881438334E+00
-2.025000E-03,+6.058574328E+00,+6.052920897E+00,+5.881438334E+00
-2.022500E-03,+6.058574328E+00,+6.103172153E+00,+5.881438334E+00
-2.020000E-03,+5.958071815E+00,+6.052920897E+00,+5.906563962E+00
-2.017500E-03,+5.983197443E+00,+6.103172153E+00,+5.881438334E+00
-2.015000E-03,+5.907820558E+00,+6.128297782E+00,+5.931689590E+00
-2.012500E-03,+6.008323072E+00,+6.128297782E+00,+5.906563962E+00
-2.010000E-03,+6.008323072E+00,+6.128297782E+00,+5.906563962E+00
-2.007500E-03,+6.008323072E+00,+6.103172153E+00,+5.881438334E+00
-2.005000E-03,+5.983197443E+00,+6.128297782E+00,+5.881438334E+00
-2.002500E-03,+5.983197443E+00,+6.078046525E+00,+5.881438334E+00
-2.000000E-03,+6.058574328E+00,+6.103172153E+00,+5.931689590E+00
-1.997500E-03,+5.932946187E+00,+6.128297782E+00,+5.881438334E+00
-1.995000E-03,+6.033448700E+00,+6.103172153E+00,+5.881438334E+00
-1.992500E-03,+6.008323072E+00,+6.103172153E+00,+5.956815219E+00
-1.990000E-03,+6.008323072E+00,+6.103172153E+00,+5.881438334E+00
-1.987500E-03,+5.907820558E+00,+6.103172153E+00,+5.856312705E+00
-1.985000E-03,+6.033448700E+00,+6.052920897E+00,+5.856312705E+00
-1.982500E-03,+5.983197443E+00,+6.128297782E+00,+5.881438334E+00
-1.980000E-03,+6.058574328E+00,+6.078046525E+00,+5.856312705E+00
-1.977500E-03,+5.983197443E+00,+6.128297782E+00,+5.881438334E+00
-1.975000E-03,+6.033448700E+00,+6.078046525E+00,+5.881438334E+00
-1.972500E-03,+6.033448700E+00,+6.128297782E+00,+5.906563962E+00
